Trace
EMI:FSCAN
A.18.24,N9010A
507 B25 EP3 FS1 P07 ,01

Preselector,Off
Scan Type,Smooth
Number of scans,3
Y Axis Unit,dBuV
Ref Level Offset,-10 dB
Coupling,DC
Input Z Correction,50 ohm

Start Frequency, Stop Frequency, RBW, Scan Points
150000,30000000,9000,13268

DATA
Trace,2
Detector,EmiAverage
150000,24.7377316595711
152249.94346875706,24.8002164007821
154499.88693751412,25.0158688666024
156749.83040627121,25.3709866644539
158999.77387502827,25.7575070501961
161249.71734378533,26.0561825873055
163499.6608125424,26.1932370306649
165749.60428129946,26.2381283880868
167999.54775005655,26.2434231878914
170249.49121881361,26.2423550726571
172499.43468757067,26.2364422918953
174749.37815632773,26.2217785956063
176999.32162508479,26.1821133734383
179249.26509384188,26.101585114161
181499.20856259894,26.0089337469735
183749.152031356,25.9466397406258
185999.09550011306,25.9252087713875
188249.03896887013,25.9338070990243
190498.98243762722,25.9407879950203
192748.92590638425,25.9450833441414
194998.86937514134,25.9416806341805
197248.8128438984,25.9334408880868
199498.75631265546,25.9225003363289
201748.69978141252,25.866851532618
203998.64325016958,25.7209012152352
206248.58671892667,25.4799573065438
208498.53018768373,25.1927640082039
210748.47365644079,24.9621197821297
212998.41712519786,24.8388592840828
215248.36059395492,24.7963101507821
217498.304062712,24.7854992987313
219748.24753146907,24.777854645411
221998.19100022613,24.7729642035164
224248.13446898319,24.7442471625008
226498.07793774025,24.6349408270516
228748.02140649734,24.2477032782235
230997.9648752544,23.4543072821297
233247.90834401146,22.20218631045
235497.85181276852,20.7830502630868
237747.79528152558,19.7191769720711
239997.73875028268,19.1588132025399
242247.68221903971,19.026160919825
244497.6256877968,19.0174557806649
246747.56915655386,19.0208737494149
248997.51262531092,19.0466076971688
251247.456094068,19.0371625067391
253497.39956282504,18.9158246161141
255747.34303158213,18.517356598536
257997.28650033919,17.7426297308602
260247.22996909625,16.7650906683602
262497.17343785334,15.854758942286
264747.11690661038,15.4038083197274
266997.06037536747,15.3530118109383
269247.0038441245,15.3920514227547
271496.94731288159,15.4995419623055
273746.89078163868,15.5648724676766
275996.83425039571,15.6676785589852
278246.7777191528,15.7482678534188
280496.72118790983,15.8108746649422
282746.66465666692,15.7312771917977
284996.608125424,15.5885159613289
287246.55159418104,15.4214551092782
289496.49506293813,15.3762280584969
291746.43853169517,15.4643017889657
293996.38200045226,15.6061856390633
296246.32546920935,15.7396695257821
298496.26893796638,15.8688962103524
300746.21240672347,15.9951169134774
302996.1558754805,16.1399685980477
305246.09934423759,16.2778927923836
307496.04281299468,16.4012448431649
309745.98628175171,16.4790341498055
311995.9297505088,16.5373608709969
314245.87321926584,16.6396252752938
316495.81668802293,16.7701642157235
318745.76015678,16.9088742376961
320995.70362553705,17.0318524481453
323245.64709429408,17.1286389471688
325495.59056305117,17.2402417303719
327745.53403180826,17.3702389837899
329995.47750056535,17.4725491644539
332245.42096932238,17.5623318792977
334495.36443807941,17.6539685370125
